,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
106,4983.0703,4800.2075,11.919,-0.005451124971826753,-5.907195729532393e-06,3,12.909,6.014,-76.88,4983,4801,266.8294184,-28.3852777,0.002733313711360097,0.0001954889012267813
107,4787.3271,4806.6309,8.911,-0.023933160825744374,-6.519481714366146e-06,3,7.784,6.55,77.42,4788,4807,266.8324969,-28.3851944,0.015018890611827374,0.00017223251052200794
108,4657.3003,4737.6401,21.293,-0.001515074639651785,-2.4364076513948236e-06,3,4.555,3.212,-76.34,4658,4737,266.8345492,-28.3861666,0.002346828579902649,0.00017479760572314262
109,4821.3765,4869.0654,3.401,-0.004384993907224178,-5.772412182959666e-06,3,11.267,6.881,-45.98,4829,4864,266.8318496,-28.3844028,0.005191972013562918,0.00017403237870894372
110,4901.3135,4769.7236,7.679,-0.001138419642678603,-4.4137104791964144e-06,3,10.313,4.275,-24.28,4906,4767,266.830634,-28.38575,0.0018356683431193233,0.00017589179333299398
111,4850.2114,5028.2568,17.165,-0.11177054847616953,-1.4313516542307103e-05,3,17.342,14.069,-49.05,4861,5028,266.8313445,-28.382125,0.020361900329589844,0.00021073817333672196
112,4453.3823,4791.7002,6.458,-0.0024682669098578572,-4.872814780575209e-06,19,16.977,8.377,57.92,4457,4813,266.8377224,-28.385111,0.004072748590260744,0.00018962397007271647
113,4819.7598,4827.6235,11.334,-0.013338881625042437,-6.891199173823461e-06,3,11.316,6.164,-5.75,4817,4827,266.8320391,-28.3849167,0.009022942744195461,0.00017403237870894372
114,4679.6123,5016.0249,11.148,-0.006938694577003583,-6.4180833368457015e-06,3,11.007,8.639,62.36,4684,5017,266.8341387,-28.3822778,0.003077875589951873,0.00018682041263673455
115,4964.4097,4816.6772,7.63,-0.006379194027611796,-5.6750087458936246e-06,3,10.328,5.69,9.34,4964,4818,266.8297184,-28.3850416,0.005437163636088371,0.0001954889012267813
116,4957.7959,4790.667,4.988,-0.0010330910792941284,-3.5348674452406287e-06,3,6.804,3.934,21.58,4958,4791,266.8298131,-28.3854166,0.0028378115966916084,0.00017589179333299398
117,4746.3423,4806.9883,12.558,-0.008107896149758627,-4.613525912007996e-06,3,8.444,4.478,-4.86,4746,4808,266.8331599,-28.3851806,0.0069010513834655285,0.00017223251052200794
118,4701.1787,4942.4609,13.622,-0.025522306361350732,-7.994962055292071e-06,3,13.156,8.727,60.32,4701,4941,266.8338703,-28.3833333,0.011062114499509335,0.00017986078455578536
119,4662.4082,4888.2227,10.69,-0.021871353779721735,-4.886257102436226e-06,3,7.924,4.939,-88.33,4661,4885,266.8345018,-28.3841111,0.01890026591718197,0.00018057113629765809
120,4750.8013,4844.6323,9.257,-0.001076028594855162,-2.395684325052962e-06,3,7.141,1.87,71.56,4757,4863,266.8329863,-28.3844167,0.0038226048927754164,0.00017223251052200794
