,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,cenf_006,cenf_096,cene_006,cene_096
240,240,4487.7817,6012.2134,6.358,3.165,89.73,8.402999999999999,2.909628986463739,0.014115240936727738,-1,13.156456,12.26436,13.156456,1.556316
241,241,5544.3623,5998.2964,5.553999999999999,3.8810000000000002,31.38,7.365,3.3357548549978624,0.01600857433287658,-1,0.14182699,3.8605707,0.021930588,0.812777
242,242,5559.1269999999995,6023.105,6.609,4.119,71.11,7.912999999999999,4.988226210299113,0.018250495865427232,-1,0.16491722,5.1452513,0.12117198,0.7882827
243,243,4623.7544,6038.6484,18.723,6.655,0.62,17.748,82.44376948869427,0.03868567476985324,240,34.80501,43.173294,34.80501,1.6666392
244,244,4415.9688,6056.0679,11.235,5.984,70.18,16.430999999999997,3.9781359228231583,0.021783617656126526,196,6.129454,4.5196037,6.129454,1.556316
245,245,4461.8169,5992.29,3.9,2.065,-74.07,6.002000000000001,0.6855212328119068,0.008720426380835507,-1,9.770509,8.507297,9.770509,1.5939995
246,246,5442.0601,6065.4888,10.815,8.458,-13.96,12.190999999999999,32.025688315136485,0.03580688164903314,198,12.029908,16.987614,12.029908,0.97373146
247,247,4587.1016,6010.2773,4.461,4.086,88.79,7.402999999999999,6.774150672768995,0.013815755784280105,227,26.92853,24.71167,26.92853,1.7415549
248,248,4457.1143,6023.7261,7.332000000000001,3.392,36.16,4.678999999999999,3.375159362661641,0.016384195906678094,-1,10.764045,11.122644,10.764045,1.556316
249,249,4388.5938,6015.8984,5.37,4.082,19.43,7.097,2.078417118061344,0.01490146853273039,226,8.881537,7.2957964,8.881537,1.2752999
250,250,4684.0635,6085.4512,11.165999999999999,7.668999999999999,35.68,10.852,14.957020181959633,0.029968335665554045,239,5.7909408,11.614365,5.7909408,1.6666392
251,251,4392.2788,6030.3481,5.591,3.865,13.26,6.995,2.3260678287427874,0.0149269644818152,196,7.661812,6.3709283,7.661812,1.3114471
252,252,4440.1309,6016.5825,2.79,1.786,-31.51,3.072,0.7696529448291743,0.008632780761238652,-1,10.508296,10.952671,10.508296,1.556316
253,253,4644.0762,6059.6875,13.870999999999999,4.815,3.16,12.175,21.68666803581264,0.026778952333828977,244,21.756826,22.893427,21.756826,1.6666392
254,254,4705.2163,6076.1084,6.246,4.8260000000000005,-46.18,7.554999999999999,6.9136456697328095,0.01818788934124447,246,9.566337,12.365694,9.566337,1.5409734
255,255,4401.9424,6037.8374,3.392,2.085,-24.67,5.059,0.7402762873810792,0.008272922396206249,-1,8.367611,6.0253463,8.367611,1.4356307
256,256,4576.0132,6067.3315,6.2860000000000005,3.938,-9.44,3.7,6.288433514278821,0.01656880871788386,-1,17.316807,17.268896,17.316807,1.7402226
257,257,3179.4304,6154.8726,9.792,4.337,-60.4,11.231,4.702539795836529,0.02378614786522337,247,5.630984,6.414273,5.630984,0.7554405
258,258,4546.48,6060.7725,5.4639999999999995,2.8339999999999996,2.01,7.021,3.0034825445937865,0.012637099670782193,231,14.038204,14.876113,14.038204,1.7402226
259,259,4562.4419,6062.1494,3.181,2.832,-1.21,5.345,2.7828687855710594,0.009710653197847693,-1,16.035194,18.040659,16.035194,1.7402226
260,260,3096.6394,6145.2861,9.281,6.3420000000000005,64.15000000000002,14.56,5.141111412638586,0.020892656356112833,232,8.043237,7.6550612,8.043237,0.75484794
261,261,3049.5073,6106.0088,7.692999999999999,5.745,37.4,9.865,13.360852527314794,0.020892656356112833,236,18.381287,21.049137,18.381287,0.76947784
262,262,3090.4045,6082.4331,7.912000000000001,3.9730000000000003,10.0,9.369,4.179164716408305,0.01980899944918075,-1,11.5926285,12.517788,11.5926285,0.83725595
263,263,3210.1575,6105.2471,7.016,4.098,70.34,6.64,2.117695990965675,0.01741903975602395,-1,8.299761,7.255611,8.299761,0.71855927
264,264,3123.301,6136.7061,10.154000000000002,6.671,39.02,12.59,6.577078934824026,0.023850001951353072,-1,7.4839745,9.186823,7.4839745,0.7554405
265,265,3036.6663,6091.6631,4.919,2.5469999999999997,71.31,5.5920000000000005,5.606446747461684,0.011099286286923473,-1,18.415375,19.851183,18.415375,0.8272959
266,266,4838.5674,6095.9443,3.258,2.041,-70.77,4.335,1.1174043361617705,0.01272703834438013,-1,0.24309318,2.2718809,0.12998268,1.31141
267,267,3113.4167,6133.834,8.692,4.183,30.82,7.237,3.210671834215552,0.016173981718617357,-1,8.617407,9.754134,8.617407,0.7554405
268,268,4617.0342,6099.9653,2.475,2.055,-67.91,4.731,0.8377604264896957,0.010056886780715821,-1,3.1903298,0.91217995,3.1903298,1.6142795
